ORDER,Time,Location,"Type of bomb (Incendiary Bomb= IB Explosive Bomb= EB, COB= Crude Oil Bomb)",Damage or other details (All dimensions at in ft unless stated),lat,lng,geocoder_match,geocoder_source
148,17:45,"4 Pier Road, North Woolwich, E16 , London, UK",IB,Front room on 1st floor and contents damaged.,51.49766200,0.06049210,"The Greyhound, 4 Pier Rd, London SE18 5QE, UK",Google
149,17:46,"Royal Dockyard, Woolwich, London, UK",EB & IB,HM War Dept. Block 47- A building og three floors about 250 x 80 used as store and contents damaged,51.49108180,0.05451480,"Woolwich Dockyard, London SE18 5JY, UK",Google
150,17:46,"Royal Dockyard, Woolwich, London, UK",EB & IB,Block 49- Abuilding of 2 floors 250x60 storage damaged.,51.49108180,0.05451480,"Woolwich Dockyard, London SE18 5JY, UK",Google
151,17:46,"Royal Dockyard, Woolwich, London, UK",EB & IB,"Block 52- 80x50 two floor building, used as acid store severely damaged",51.49108180,0.05451480,"Woolwich Dockyard, London SE18 5JY, UK",Google
152,17:46,"Royal Dockyard, Woolwich, London, UK",EB & IB,Block 67 three floor 150x60 roof and contents damaged,51.49108180,0.05451480,"Woolwich Dockyard, London SE18 5JY, UK",Google
153,17:46,"Royal Dockyard, Woolwich, London, UK",EB & IB,"Block 221, 50x40 office and store damaged. Roof off",51.49108180,0.05451480,"Woolwich Dockyard, London SE18 5JY, UK",Google
154,17:46,"Royal Dockyard, Woolwich, London, UK",EB & IB,Block 149 50x40 used as dwelling and store severely damaged and part of roof off.,51.49108180,0.05451480,"Woolwich Dockyard, London SE18 5JY, UK",Google
155,17:46,"Royal Dockyard, Woolwich, London, UK",EB & IB,"Two timber shed buildings  each 20x10, two railway trucks and contents damaged",51.49108180,0.05451480,"Woolwich Dockyard, London SE18 5JY, UK",Google
156,17:46,"Royal Dockyard, Woolwich, London, UK",EB & IB,"Bloock 225- 80x50 one floor building , used as workrooms and store",51.49108180,0.05451480,"Woolwich Dockyard, London SE18 5JY, UK",Google
157,17:46,"Royal Dockyard, Woolwich, London, UK",EB & IB,Motor lorry damaged by fire,51.49108180,0.05451480,"Woolwich Dockyard, London SE18 5JY, UK",Google
158,17:46,"Commonwealth Buildings, Woolwich Curch Street, SE18, London, UK",EB & IB,"Two floor building 100x 40, used as work rooms, top floor and contents damaged",51.49265670,0.04761550,"Unit 2, Commonwealth Buildings, Woolwich Church St, London SE18 5NS, UK",Google
159,17:46,"Commonwealth Buildings, Woolwich Curch Street, SE18, London, UK",EB & IB,One floor building 60x40 ft used as workroom office and store,51.49265670,0.04761550,"Unit 2, Commonwealth Buildings, Woolwich Church St, London SE18 5NS, UK",Google
160,17:46,"Commonwealth Buildings, Woolwich Curch Street, SE18, London, UK",EB & IB,"A house of 7 rooms, top floor and contents severely damaged art of roof off",51.49265670,0.04761550,"Unit 2, Commonwealth Buildings, Woolwich Church St, London SE18 5NS, UK",Google
161,17:46,"Commonwealth Buildings, Woolwich Curch Street, SE18, London, UK",EB & IB,Storage building of one floor 60x20 ,51.49265670,0.04761550,"Unit 2, Commonwealth Buildings, Woolwich Church St, London SE18 5NS, UK",Google
162,17:47,"Bowater Road, Woolwich SE18, London, UK",EB & IB,"Owned by Siemens Bros. & Co., Ltd. Electrical cable manufacturers""L"" block- 6 floors and basement 80x40, workrooms offices and store, 3 upper foors cona contents damaged. Three other buildings damaged.",51.49419980,0.04250790,"Bowater Rd, London SE18, UK",Google
163,17:50,"Samuel Street, Woolwich SE18. Nos.148-154 inclusive, London, UK",IB,4 private houses and contents damaged.,51.49069720,0.05154410,"Samuel St, London SE18, UK",Google
164,17:50,"Samuel Street, Woolwich SE18, London, UK",EB,16 private houses damaged,51.49069720,0.05154410,"Samuel St, London SE18, UK",Google
165,17:50,"Red Barracks, Francis Street, Woolwich SE18, London, UK",EB,HM War Dept. Military College of Science Slightly damaged,51.48881530,0.05462250,"Red Barracks Rd & Frances St, London SE18 5EF, UK",Google
166,17:50,"13 Walerand Road Lewisham, SE13, London, UK",EB,"South Met Gas Company, three houses, gas pipes and gas destroyed",51.46593950,-0.00840270,"13 Walerand Rd, Blackheath, London SE13 7PE, UK",Google
167,17:50,"Honor Oak Road, Forest Hill SE23, London, UK",EB,Owned by Lewisham BC 6x3 Roadway damage,51.44435410,-0.05528890,"Honor Oak Rd, London SE23, UK",Google
168,17:51,"Devons Road, Bromley, E3, London, UK",IB,"St. Andew's Hospital. 100x50 three floor building, roofing and joisting damaged by fire. 100x22 three floor building roofing and joisting damaged. 50x20 one floor building damaged. 40x20 plumbers workshop . 1/6 contents damaged. A number of IB burned out in hospital grounds.",51.52216000,-0.01829370,"Devons Rd, London E3, UK",Google
169,17:51,"Empson Street, Bromley, E3, London, UK",IB,"Berger Hall Central Church and Medical Mission 120x80 lecture hall and club rooms, contents severely damaged.",51.52216780,-0.01314260,"Empson St, London E3, UK",Google
170,17:51,"Albert Road, North Wollwich, E16, London, UK",IB,12x6 wooden fencing and railway cutting away damaged,51.50006180,0.06254580,"Albert Rd, London E16, UK",Google
171,17:52,"Brewery Wharf, Creek Road, Greenwich, SE10, London, UK",EB,"Headley's Wharf, Ltd.20x15 of quayside damaged by explosion",51.48106010,-0.01568940,"Brewery Wharf, Norman Rd, London SE10 9QZ, UK",Google
172,17:52,"Hyde Vale Greenwich S10, London, UK",Crashed aircraft,HM War Dept. Royal Air Force. An aeroplane damaged by fire by explosion and breakage,51.47502310,-0.00677100,"Hyde Vale, London SE10, UK",Google
173,17:52,"Catherine Grove, Greenwich SE10, London, UK",IB,London Auxiliary Fire Service: Medium trailer pump of content damaged. Tar and brickwork damaged in yard,51.47457260,-0.01869260,"Catherine Grove, London SE10, UK",Google
174,17:52,"70 Crooms Hill, Greenwich SE10, London, UK",IB,Ladies School. Ursuline Convent 10x4 roof damage,51.47617060,-0.00613180,"70 Crooms Hill, London SE10 8HN, UK",Google
175,17:52," West Ferry Road, Millwall, E14, London, UK",EB &IB,"Thames Oil Wharft, Ltd. 1000, 45 gallonmineral oil drums and three oil tanks (40 tons each) and two, 2 foor buildings, contents and machinery all damaged.",51.49830220,-0.02589880,"Westferry Rd, London E14, UK",Google
176,17:52," West Ferry Road, Millwall, E14, London, UK",EB &IB,Timber storage. 2 Tarpaulins burned and a 20x 10 stack or timberand an iron shed all damaged,51.49830220,-0.02589880,"Westferry Rd, London E14, UK",Google
177,17:53,"457 Brockley Road, Brockley SE4, London, UK",IB,Back room on ground floor and contents damaged,51.45257980,-0.03863600,"457 Brockley Rd, London SE4 2PJ, UK",Google
178,17:53,"Glebe Terrace, Bow E3, London, UK",IB,Front room on first floor and contents slightly damaged. Roof by breakage,51.46392860,0.00303670,"The Glebe, Blackheath, London SE3, UK",Google
179,17:54,"Conduit House, Hyde Vale, Greenwich SE10, London, UK",IB,15x5 roof damage to house that had been let out as flats,51.47333220,-0.00534140,"Conduit House, 78 Hyde Vale, London SE10 8HP, UK",Google
180,17:54,"Bexley Road Eltham, SE9, London, UK",IB,10x6 GRASS burned,51.45107430,0.06474060,"Bexley Rd, London SE9, UK",Google
181,17:54,"599 Manchester Road, Cubitt Town, E14, London, UK",IB,Private house of 9 room s damaged by fire,51.50047860,-0.00933130,"599 Manchester Rd, London E14 3NU, UK",Google
182,17:55,"47 Lewisham Road SE10, London, UK",EB,"Hairdressers, Severley damaged",51.47203660,-0.01517410,"47 Lewisham Rd, London SE13 7QR, UK",Google
183,17:55,"Hollyhedge House, Blackheath, SE3, London, UK",IB,HM War Dept 2x1 damage,51.47047200,-0.00525070,"Hollyhedge House, Wat Tyler Rd, Blackheath, London SE3 0QZ, UK",Google
184,17:55,"117 Sedgeway, Catford, SE6, London, UK",EB ,Private house of 6 rooms damaged,51.44018810,0.00730700,"Sedgeway, London SE6, UK",Google
185,17:55,"201 Boundfield Road, Downham, London, UK",EB,Private house of 6 rooms damaged,51.43470260,0.00752880,"201 Boundfield Rd, London SE6 1PE, UK",Google
186,17:55,"30 Brandham Road, Lee Se12, London, UK",Ib,roof damaged by fire,51.44933310,0.02048370,"Lee, London, UK",Google
187,17:55,"Uplands Brandram, Road, Lee SE12, London, UK",IB,roof damaged by fire,51.46079240,0.00097490,"Brandram Rd, London SE13, UK",Google
188,17:55,"1 Elliot park, Blackheath, SE3, London, UK",EB & IB,"four houses, each with 12 rooms slightly damaged",51.46709400,-0.00843870,"1A Eliot Park, Blackheath, London SE13 7EG, UK",Google
189,17:55,"Brandham Road, Lee, SE12, London, UK",-,top floor contents damaged,51.44933310,0.02048370,"Lee, London, UK",Google
190,17:55,"25 Dowanhill Road, Catford, Se6, London, UK",-,"Unexploded bomb at rear of premises, not yet detonated",51.43986360,-0.00317440,"25 Dowanhill Rd, London SE6 1SU, UK",Google
191,17:55,"Alms House, Brandham, Lee, SE12, London, UK",-,two unexploded bombs,51.44933310,0.02048370,"Lee, London, UK",Google
192,17:55,"Tunnel Avenue, Greenwich, SE10, London, UK",EB,building of one room and tro floors severley damaged,51.49286780,0.00716580,"Tunnel Ave, London SE10, UK",Google
193,17:55,"34 Grantley Street, Mile End E1, London, UK",IB,"House of 6 rooms, first floor and contents severely damaged. Part of roof off.",51.52348360,-0.04324720,"34 Grantley St, Bethnal Green, London E1 4BN, UK",Google
194,17:57,"St. Catherine's Vicarage, Pepys's Road, New Cross, SE14, London, UK",IB,"house of 20 rooms, most of roof off, contents slightly damaged.",51.46659040,-0.04339360,"St Catherines Vicarage, 102A Pepys Rd, London SE14 5SG, UK",Google
195,17:57,"27, Elsdale Street, Hackney, E9, London, UK",IB,Back room on second floor and contents damaged. Roof damaged by breakage,51.54323620,-0.04927480,"27 Elsdale St, London E9 6QW, UK",Google
196,17:57,"40 Harford Street, Stepney, E1, London, UK",IB,House of 5 rooms and contents severely damaged,51.52117490,-0.03906400,"40 Harford St, London E1, UK",Google
197,17:57," Garnett Street Stepney E1, London, UK",EB and IB,Minor fire and explosion damage,51.50778660,-0.05502300,"Garnet St, London E1W, UK",Google
198,17:57,"North Woolwich Road E16, London, UK",IB,"Victualler Barge House60x40 two floor building, used as victuallers and contents damaged. ",51.50231970,0.03040640,"N Woolwich Rd, London E16, UK",Google
199,17:58,"Gervase Street, Camberwell, SE16, London, UK",IB,2x1 roadway damage,51.47934490,-0.05840910,"Gervase St, London SE15, UK",Google
200,17:58,"Crofton Park Railway Station, Brockley, SE4, London, UK",IB,(Southern Railway) IB on Track,51.45481360,-0.03726430,"Crofton Park Station, London SE4, UK",Google
201,17:58,"100 Skidmore Street, Stepney E1, London, UK",IB,A timber shed building about 20 x 10ft (used as a store) and contents damaged,51.52222540,-0.04915740,"Stepney, London E1, UK",Google
202,17:59,"25 Goodwood Road, Newcross, SE14, London, UK",IB,Aspinalls. Paint Manufacturers. 20x10 roofing and joisting damaged,51.47656620,-0.03973890,"25 Goodwood Rd, London SE14 6BL, UK",Google
203,17:59,"Surrey Commercial Docks, SE16, London, UK",IB,"Port of London, timber yards, warehouses, offices and stores, covering 120 acres, including 10 shops and small craft of about 30 000 tons gross. 4/5 of content damaged.  Roofs off. Two firemen killed and four injured",51.49660220,-0.04984570,"London SE16, UK",Google
204,17:59,"250 Silver Walk, Rotherhithe Street, Se16, London, UK",IB,block of mofel dwellings damaged by explosion. ,51.50347840,-0.03374930,"Silver Walk & Rotherhithe Street, London SE16 5HW, UK",Google
205,17:59,"660 Rotherhithe Street, Se16, London, UK",IB,"4 floor buildings, covering 1/2 mile, severely damaged",51.49859670,-0.03467320,"660 Rotherhithe St, London SE16 5LJ, UK",Google
206,17:59,"Milbourne St, Hackney E9, London, UK",IB,"Slipper manufacturer- building of 1 and 2 floors about 80 x 60 feet, used as workrooms, offices and stores severely damaged. Most part of roof off and door and window glass broken",51.54347730,-0.04854600,"Milborne St, London E9, UK",Google
207,17:59,"Arnold Road, Bow E3, London, UK",IB,Back room on first floor and contents slightly damaged. Roof by breakage,51.52702310,-0.02280030,"Arnold Rd, Bow, London E3, UK",Google
208,17:59,"West Ferry Road, Millwall, E14, London, UK",EB,20 ft of railway track and a building of one floor80x40 damaged,51.49830220,-0.02589880,"Westferry Rd, London E14, UK",Google
209,18:00,"8 Lanbury Road, Camberwell SE15, London, UK",IB,front room of 1st floor damaged,51.45990040,-0.04686390,"8 Lanbury Rd, London SE15 3DB, UK",Google
210,18:00,"Thornham Street Greenwich SE10, London, UK",EB,20 private houses damaged,51.48072320,-0.01491070,"Thornham St, London SE10, UK",Google
211,18:00,"46-48 Comerford Road, 41-53 Comerford Road, Brockley, SE4, London, UK",EB,two buildings damged,51.45914800,-0.03630420,"41 53, 46 Comerford Rd, London SE4 2AX, UK",Google
212,18:00,"12 Buckthorne Road, Corfton Park SE4, London, UK",IB,First floor damaged,51.45566340,-0.03924280,"12 Buckthorne Rd, London SE4 2DB, UK",Google
213,18:00,"Morden Wharf Road, Greenwich SE10, London, UK",EB & IB,Firmin & Co. Sack and bag manufactures. Range of buildings  200x180 used as workshops severely damaged,51.49373720,0.00407710,"Morden Wharf Rd, London SE10, UK",Google
214,18:00,"Tunnel Avenue, Greenwich, SE10, London, UK",EB & IB,"Henry Froud, Haulage contractors, 120x40 severely damged",51.49286780,0.00716580,"Tunnel Ave, London SE10, UK",Google
215,18:00,"Tunnel Avenue, Greenwich, SE10, London, UK",IB,"Greenwich borough council, 4x3 asphalt paving damage",51.49286780,0.00716580,"Tunnel Ave, London SE10, UK",Google
216,18:00,"58 Sydenham Road, Sydenham, SE26, London, UK",EB,Shop and house of 5 rooms damaged. 6 shops opposite and adjoining damaged by explosion. One Section officer AFS injured,51.42584130,-0.05056540,"Golden City, 58 Sydenham Rd, London SE26 5QE, UK",Google
217,18:00,"40 Batavia Road, New Cross SE14, London, UK",IB,back rooms 1st floor damaged and 4x3 roof damage,51.47615430,-0.03747620,"40 Batavia Rd, London SE14, UK",Google
218,18:00,"Swedish yard, Surrey, Commercial Docks, SE16, London, UK",Crude oil bomb,stack of timber and 30x20 damaged,51.49437230,-0.03754780,"Swedish Quay, London SE16, UK",Google
219,18:00,"Barnards Wharf 341, Rotherhithe Street, SE16, London, UK",IB,"Timber Merchants, 200x200 two floor buildings, 2/3 content lost.",51.49887680,-0.03456240,"341 Rotherhithe St, London SE16 5LJ, UK",Google
220,18:00,"Rotherhithe Street, SE16, London, UK",IB,"Wharfingers. 300x100 1-3 floor buildings, contents severely damaged",51.50439330,-0.04576960,"Rotherhithe St, London SE16, UK",Google
221,18:00,"299 Rotherhithe Street, SE16, London, UK",IB,"Timber Merchants, 500x400  and 4/5 of contents severely damaged",51.50274740,-0.03325010,"299 Rotherhithe St, London SE16 5EY, UK",Google
222,18:00,"Redriff School, Rotherhithe Street, SE16, London, UK",IB,"range of buildings between 1-4 floors, covering 200x200 severely damaged",51.50194430,-0.03656160,"Redriff Primary School, Salter Rd, London SE16 5LQ, UK",Google
223,18:00,"1 Redriff Road, Rotherhithe, SE16, London, UK",EB,Many buildings in this thorough fare are severely damaged,51.49547460,-0.04331620,"1 Redriff Rd, London SE16 7PS, UK",Google
224,18:00,"12 Jewel Street, Stepney E1, London, UK",IB,Front room on first floor and contents damaged. Ceiling slightly under by water,51.48001760,-0.09561240,"Jewell St, London SE5, UK",Google
225,18:00,"128 Aylward Street, Stepney E1, London, UK",IB,Timber yard and offices of two floors and contents severely damaged,51.51596910,-0.04579120,"128 Aylward St, Stepney Green, London E1 0QW, UK",Google
226,18:00,"Wapping Wall E1, London, UK",IB,Metropolitan Wharf-A building of 2 floors about 100 x 60 feet ( used as warehouse office and store) severely damaged,51.50691180,-0.05219440,"Wapping Wall, London E1W, UK",Google
227,18:00," Sidney Street Stepney E1, London, UK",EB and IB,Minor fire and explosion damage,51.51707750,-0.05516700,"Sidney St., London E1, UK",Google
228,18:00,"Greenwich foot subway, London, UK",EB,London County Council. 60 ft of tunnel and lift shaft on north side damaged,51.48654610,-0.00942430,"Greenwich Foot Tunnel, London, UK",Google
229,18:00,"39 Saundersness Road, Cubitt Town, E14., London, UK",EB,20 houses damaged,51.48806000,-0.00614030,"39 Saunders Ness Rd, London E14, UK",Google
230,18:00,"Nos. 81-8 Yarrow House, Glengall Grove, Millwall, E14, London, UK",Eb,"Three 4-floor buildings, and contents damaged",51.49744440,-0.00885930,"16 Stewart St, London E14 3JP, UK",Google
231,18:00,"8 Maudesley House, Glengall Grove, Millwall, E14, London, UK",EB,Rest of street of 48 houses damaged by breakage,51.49565560,-0.01240220,"Glengall Grove, London E14, UK",Google
232,18:00,"8 Hibbert House, Glengall Grove, Millwall, E1, London, UK",EB,Rest of street of 48 houses damaged by breakage,51.49565560,-0.01240220,"Glengall Grove, London E14, UK",Google
233,18:00,"332 Hibbert House, Glengall Grove, Millwall, E1, London, UK",EB,Rest of street of 48 houses damaged by breakage,51.49650760,-0.02402290,"Hibbert House, Tiller Rd, London E14 8PZ, UK",Google
234,18:01,"39 Whitbread Road, 31-49 Whitbread Road, Brockley, SE4, London, UK",EB,10 private houses damaged,51.45835130,-0.03603490,"39 Whitbread Rd, London SE4 2BD, UK",Google
235,18:01,"2a Kneller Road, Brockley, SE4, London, UK",IB,Middle room damaged,51.46161720,-0.03788860,"2A Kneller Rd, London SE4 2AP, UK",Google
236,18:01,"3 Kneller Road, Brockley, SE4, London, UK",IB,Front room on 1st floor severely damaged,51.46111590,-0.03776130,"3 Kneller Rd, London SE4 2AR, UK",Google
237,18:01,"Sutton Dweillings, Chilton Grove, Deptford, SE8, London, UK",IB,front room on 1st floor damaged. ,51.49168650,-0.04145850,"Chilton Grove, London SE8, UK",Google
238,18:01,"Greenstead Road, Deptford SE8, London, UK",IB,IB burned out in street,51.48079880,-0.02310990,"Deptford, London, UK",Google
239,18:01,"Well St, Hackney, E9, London, UK",IB,London Passenger Transport Board- An Omnibus Reg. No. EXV 246. Top deck severely damaged. Lower deck slightly damaged,51.54165410,-0.04886020,"Well St, London, UK",Google
240,18:01,"360 Stepney Way, E1, London, UK",IB,2x2 Roof damage,51.51671350,-0.04334910,"360 Stepney Way, Stepney Green, London E1 0RH, UK",Google
241,18:01,"10 Stepney High Street, E1, London, UK",IB,4x2 roof damage,51.51729040,-0.04263140,"Stepney High St, London E1, UK",Google
242,18:01,"42 Stephney High Street E1, London, UK",IB,"Timber shed, 30x10 (used as store) damaged",51.51729040,-0.04263140,"Stepney High St, London E1, UK",Google
243,18:01,"Aylward Street London E1 OQW, London, UK",EB & IB,Minor fire damage in this area,51.51593960,-0.04681320,"Aylward St, Stepney Green, London E1 0QW, UK",Google
244,18:01,"Westferry Road, Millwall, E14, London, UK",EB,"Lead and Zinc Manufacturers. 40 x20 of wharfside and a 60x40 building, office and machine room, damaged",51.49830220,-0.02589880,"Westferry Rd, London E14, UK",Google
245,18:02,"Old Kent Road, SE1, London, UK",EB,"Belonging to South Metropolitan Gas Works: 3, 000, 000 cubic feet of gas destroyed and a gas holder severely damaged. A range of buildings including work rooms, showrooms and offices damaged by fire.",51.48844520,-0.07682130,"Old Kent Rd, London SE1, UK",Google
246,18:02,"Devon Street, SE1, London, UK",EB,All buildings in this thoroughfare damaged by explosion,51.52169880,-0.14800120,"Devonshire St, London, UK",Google
247,18:02,"St. Catherine's Church,Pepys Rd, Lewisham, London SE14, United Kingdom, London, UK",EB,Nave severely damaged by fire and most of roof is off. ,51.46766720,-0.04443690,"St Catherines Vicarage, 102A Pepys Rd, London SE14 5SG, UK",Google
248,18:02,"3 Blackheath Vale, Blackheath SE3, London, UK",IB,Back room on 1st floor and contents damaged,51.46953250,0.00390000,"3 Blackheath Vale, Blackheath, London SE3 0TX, UK",Google
249,18:02,"22 Blackheath Vale, Blackheath SE3, London, UK",IB,Groundfloor passage damaged. ,51.46908740,0.00419230,"22 Blackheath Vale, Blackheath, London SE3 0TX, UK",Google
250,18:02,"48 Eglinton Hill, Plumstead, SE18, London, UK",EB,All private houses damaged,51.47651910,0.06848490,"48 Eglinton Hill, London SE18 3NR, UK",Google
251,18:02,"Brent Road, Plumstead, SE18, London, UK",EB,All private houses damaged,51.47600250,0.06742060,"Brent Rd, London SE18, UK",Google
252,18:02,"Trundley's Road, Deptford, SE16, London, UK",IB,9 privates houses damaged,51.48753650,-0.04350410,"Trundley's Rd, London SE8, UK",Google
253,18:02,"Milborne St, Hackney E9, London, UK",IB,"Milbourne Piano Works, building of 3 floors, 30 x 20ft used as workrooms, offices and stores, about 14 x 1oft or roof damaged. Doors broken open. Ceiling and contents under by water",51.54347730,-0.04854600,"Milborne St, London E9, UK",Google
254,18:02,"East India Dock Rd, London, UK
Poplar, Greater London E14, London, UK",IB,2x1 paving damage,51.51133920,-0.01128040,"E India Dock Rd, London E14, UK",Google
255,18:02,"Thomas Road E14, London, UK",IB,1x1 paving damage,51.51539560,-0.02662920,"Thomas Rd, London E14, UK",Google
256,18:02,"Manchester Road, Cubitt Town, E14, London, UK",EB,40x 30 roadway damage. And Three houses each of 8 rooms and contents damaged,51.49447190,-0.00849490,"Manchester Rd, London E14, UK",Google
257,18:02,"Manchester Road, Cubitt Town, E14, London, UK",EB,40x 30 roadway damage. And Three houses each of 8 rooms and contents damaged,51.49447190,-0.00849490,"Manchester Rd, London E14, UK",Google
258,18:03,"Bolinn Road, Deptford, SE16, London, UK",IB,Shop and house of 6 rooms damaged by explosion. Also gas main fractured and about 30x20 of roadway damaged,51.48079880,-0.02310990,"Deptford, London, UK",Google
259,18:03,"Avonley Road, Newcross, SE14, London, UK",EB,"Owned by South Met Gas and Met Water and Deptford Borough Council, gas and water mains fractured and 40x16 of roadway damage",51.47894520,-0.05037170,"Avonley Rd, London SE14, UK",Google
260,18:03,"15-21 Hundson Road, Newcross, SE14, London, UK",Eb,Four private houses damaged by explosion,51.46593260,0.13808160,"15 Hudson Rd, Bexleyheath DA7 4QE, UK",Google
261,18:03,"25, Upcott Street, SE15, London, UK",IB,Two private houses damaged by explosion,51.47032690,-0.06152370,"London SE15, UK",Google
262,18:03,"Jeringham Road, Newcross, SE14, London, UK",IB,"Building of two floors 100x 50, back room aand contents slightly damaged. ",51.47467810,-0.04112310,"Jerningham Rd, London SE14, UK",Google
263,18:03,"26 Bushmoor Crescent, Plumstead, SE18, London, UK",EB,All private houses damaged,51.47384810,0.07108150,"26 Bushmoor Cres, London SE18 3EF, UK",Google
264,18:03,"22 Matlock Street, Poplar, Greater London E14 7, London, UK",IB,front room on 1st floor and contents damaged,51.51547680,-0.03961080,"22 Matlock St, London E14 7NN, UK",Google
265,18:03,"Burdett Road, E3, London, UK",IB,2x1 paving damage,51.52092500,-0.03276320,"Burdett Rd, London E3, UK",Google
266,18:03,"Dudgeons Wharf, Manchester Road, Cubitt town, E14, London, UK",EB,40x10 brickworkand damaged,51.49191070,-0.00328650,"Dudgeon’s Wharf - Firefighters Memorial, 46 Sextant Ave, London E14 3DX, UK",Google
267,18:03,"Transporter Yard, East Ferry Road, Millwall, E14, London, UK",IB,20 Timber shed buildings each 10 x 6 ad 1 acre of undergrowth burned. ,51.49352160,-0.01444010,"E Ferry Rd, London E14, UK",Google
268,18:04,"207 Waller Road, Newcross, SE14, London, UK",IB,6x4 of GRASS burned in garden,51.46842740,-0.04707130,"207 Waller Rd, London SE14 5LX, UK",Google
269,18:04,"Riverway, Blackwall Lane, East Greenwich, SE10, London, UK",EB,"40x30 roadway severely damged, gas main fractured, 20 private houses danaged",51.48951970,0.00871060,"Blackwall Ln, London SE10, UK",Google
270,18:04,"Riverway, Blackwall Lane, East Greenwich, SE10, London, UK",EB,"40x30 roadway severely damged, gas main fractured, 20 private houses danaged",51.48951970,0.00871060,"Blackwall Ln, London SE10, UK",Google
271,18:04,"94-120, Riverway, Blackwall Lane, East Greenwich, SE10, London, UK",EB,"40x30 roadway severely damged, gas main fractured, 20 private houses danaged",51.48951970,0.00871060,"Blackwall Ln, London SE10, UK",Google
272,18:04,"100-108 Riverway, Blackwall Lane, East Greenwich, SE10, London, UK",EB,"40x30 roadway severely damged, gas main fractured, 20 private houses danaged",51.48951970,0.00871060,"Blackwall Ln, London SE10, UK",Google
273,18:04,"North Atlantic Import Shed, Finland Yard Surrey, Commercial Docks, SE16, London, UK",Crude oil bomb,"4 floor building, 300x80 severely damaged",51.50721780,-0.12758620,"London, UK",Google
274,18:04,"2 Hick Street, Rotherhithe, SE16, London, UK",IB,front room on ground floor damaged. ,51.48821760,-0.03979190,"2 Hicks St, London SE8 5DG, UK",Google
275,18:04,"Priory Place, Well Street, Hackney E9, London, UK",IB,Front room on first floor and contents slightly damaged. 4 x 2ft of roof by breakage,51.54165410,-0.04886020,"Well St, London, UK",Google
276,18:04,"275 Bancroft Road, Tower Hamlets London E1, London, UK",IB,"A3 block, about 6 x 4 ft of roof damaged. Ceiling and contents under slightly by water",51.52446640,-0.04266940,"275 Bancroft Rd, Bethnal Green, London E1 4DG, UK",Google
277,18:04,"4 Ainsworth Road, Hackney, E2, London, UK",IB,"House of 10 rooms, front room on top floor and contents severely damaged. Part of roof off. Rest of house and contents slightly damaged.",51.53963300,-0.05099460,"4 Ainsworth Rd, London E9 7LP, UK",Google
278,18:04,"North Woolwich Roads E, London, UK",IB,Dumb barge damaged,51.50231970,0.03040640,"N Woolwich Rd, London E16, UK",Google
279,18:04,"307 Stepney Way E1, London, UK",IB,"Private house of 6 rooms, back rooms, 2nd 3rd floors damaged",51.51672340,-0.04535130,"307 Stepney Way, Stepney Green, London E1 3DH, UK",Google
280,18:04,"Glengall Grove, Millwall, E14, London, UK",IB & EB,"Lancashire Freight Services Ltd. 1,2 and 3 floor buildings  covering 500x500 used as warehouses. Severely damaged",51.49565560,-0.01240220,"Glengall Grove, London E14, UK",Google
281,18:05,"112 Waller Road, Newcross, SE14, London, UK",IB,Front room damaged by fire,51.46970250,-0.04809610,"112 Waller Rd, London SE14 5LU, UK",Google
282,18:05,"Lewisham High Street, Se13, London, UK",EB,"Southern Met. Electric, light and Power) 100x40 four floor building. Space used as showroom",51.45795000,-0.01312470,"Lewisham High St, London SE13, UK",Google
283,18:05,"97 Ainsworth Road, Hackney E9, London, UK",IB,"House of 12 rooms, front room on top floor and contents severely damaged. Part of roof off. Rest of building and contents slightly damaged.",51.53873010,-0.04996430,"97 Ainsworth Rd, London E9 7TS, UK",Google
284,18:05,"Wellington Way Buildings, Wellington Way, Bow E3, London, UK",IB,"Building of 3 floors about 60x 30 feet, (used as dwellings) about 1/2 of top floor and contents damaged. Roof damaged by breakage",51.52541520,-0.02476580,"Wellington Way, London E3, UK",Google
285,18:05,"Stebondale St, London, UK
Poplar, Greater London E14 3, London, UK",IB,A house and a Grocery shop of 6 rooms and contents severly damges,51.48938880,-0.00893020,"Stebondale St, London E14, UK",Google
286,18:05,"Bow Rd, London, UK
Poplar, Greater London E3, London, UK",IB,St. Clement's Hospital. Mental observation home. 3x2 roof damage,51.52751310,-0.02350280,"Bow Rd, London E3, UK",Google
287,18:05,"Old Gravel Lane, Wapping E1, London, UK",IB,"Port of London Authority. 350x 120 one floor building, general warehouse, and contents severely damaged",51.51547220,-0.07626490,"Gravel Ln, London E1, UK",Google
288,18:06,"Axminster Road, Holloway, N7, London, UK",EB,"9x6 pavement damaged, fractures gas main in street",51.56092510,-0.11828970,"Axminster Rd, London N7, UK",Google
289,18:06,"Axminster Road, Holloway, N7, London, UK",EB,32 private houses thoroughfare damaged by explosion. ,51.56092510,-0.11828970,"Axminster Rd, London N7, UK",Google
290,18:06,"Waller Road, Newcross, SE14, London, UK",IB,IB burned out in garden,51.47067400,-0.04827390,"Waller Rd, London SE14, UK",Google
291,18:06," Loampit Vale Lewisham, SE13, London, UK",EB,All builidings damaged,51.46472690,-0.01654110,"Loampit Vale, London SE13, UK",Google
